Island_Name,RasterAddress_1km,DepthBin_5m,Depth_m_mn,Longitude_mn,Latitude_mn,Longitude_ras,Latitude_ras,AreaSurveyed_m2_sum,PercentLiveCoralCover_mean,PercentLiveCoralCover_sd,PercentLiveCoralCover_N,PctCoralUnbleached_mean,PctCoralUnbleached_sd,PctCoralUnbleached_N,PctCoralPartialBleached_mean,PctCoralPartialBleached_sd,PctCoralPartialBleached_N,PctCoralFullyBleached_mean,PctCoralFullyBleached_sd,PctCoralFullyBleached_N,PctAffected_mean,PctAffected_sd,PctAffected_N,DHW.MeanMax_Degree_Heating_Weeks_MO03,DHW.MeanMax_Degree_Heating_Weeks_YR10YR01,mean_PAR_MODIS_Daily_MO03,mean_kdPAR_VIIRS_Weekly_MO03,mean_weekly_range_SST_CRW_Daily_ALLB4,Prop_BleachResTaxa,OTP_MHI_OSDS_TotalEffluent,LBSP_AgGolf_runoff_01_sc,LBSP_Urban_runoff_01_sc,WaveEnergy_MN1979.2012,TourRec_DirectHuman_10yrAvgPUD,Depth_m_mn_sc,Correlation_Weight
Hawaii,44392,"(5,10]",6.601475574,-156.0414477,19.78552716,-156.0407685,19.78762153,10689.3,10.375,6.872347973,4,38.125,15.18977178,4,8.125,2.393567769,4,53.75,17.01714821,4,61.875,15.18977178,4,11.51000023,0,47.36039187,0.0659177,2.477547412,0.15818122,84.88264465,0.562557146,-0.011646698,6199.255988,20,-0.418533314,0.085541151
Hawaii,44861,"(5,10]",8.733811707,-156.050697,19.76747673,-156.0497825,19.76799413,8372.4,14.5,11.44552314,4,57.5,4.564354646,4,17.5,3.535533906,4,25,7.071067812,4,42.5,4.564354646,4,11.64000034,0,47.48799817,0.0659177,2.485094394,0.288377422,7.484867263,1.091208614,0.769473575,6515.558934,4.673598015,0.199682407,0.284673446
Hawaii,45096,"(10,15]",10.50873799,-156.0511061,19.75845152,-156.0497825,19.75683198,9098,17.125,10.43531664,4,39.375,5.153882032,4,33.125,6.884463184,4,27.5,3.535533906,4,60.625,5.153882032,4,11.64000034,0,47.48799817,0.066370737,2.485094394,2.533532656,0,1.141086327,0.851020215,3851.5883,3.700000048,0.714276384,0.252111041
Hawaii,47448,"(10,15]",12.192,-156.0301452,19.66819938,-156.0317545,19.67109888,60,NA,NA,4,47.08756731,13.12050247,4,33.61735821,7.286076635,4,24.47007448,6.605432493,4,58.0875,11.92143553,4,11.92800007,0,50.52511846,0.067283334,2.477622727,5.016997447,1878.978944,-0.584953658,0.147034835,6288.188342,42.40000153,1.202294675,0.108992794
Hawaii,36656,"(5,10]",9.45525832,-155.869607,20.08335922,-155.8695025,20.08407159,8501.3,40,4.330127019,3,47.5,6.614378278,3,35.83333333,8.036375634,3,16.66666667,2.886751346,3,52.5,6.614378278,3,10.67000008,0,48.57293881,0.055998667,2.522830315,9.531572833,284.1472387,-1.004498766,-0.546497222,173.6941207,1.799999952,0.408847196,0.170124923
Hawaii,37128,"(10,15]",10.73813666,-155.8524743,20.06530879,-155.8514745,20.06340483,6153.6,25.83333333,1.443375673,3,40.83333333,3.818813079,3,20.83333333,3.818813079,3,38.33333333,1.443375673,3,59.16666667,3.818813079,3,10.67000008,0,48.45251189,0.055998667,2.522830315,0.829566276,20407.85198,-1.002568581,-0.406404225,175.1235325,3.568169474,0.780784596,0.294665011
Hawaii,37363,"(5,10]",8.326454764,-155.8483245,20.05628358,-155.8514745,20.05960791,4291.2,32.5,0,3,25.19320364,6.286087891,3,31.36599705,8.948898114,3,43.44079931,2.70061482,3,74.80666667,6.285867747,3,10.02000014,0,49.98111204,0.062982741,2.508930926,0.868224768,17123.37534,-1.003184604,-0.441417129,83.61470717,2.900000095,0.081579795,0.179015952
Hawaii,39010,"(5,10]",8.804000234,-155.8299545,19.99310708,-155.8334465,19.99088813,7586.8,12.16666667,9.438396757,3,46.66666667,5.773502692,3,21.66666667,2.886751346,3,31.66666667,7.637626158,3,53.33333333,5.773502692,3,11.03812502,0,48.09132766,0.062103555,2.506741481,0.281870025,3237.068514,0.288491289,-0.565114008,168.9323559,86.70000458,0.220031755,0.194902585
Hawaii,41587,"(5,10]",8.5344,-155.9086764,19.89382973,-155.9055585,19.89387191,2290.4,15,NA,3,50.34938366,11.57895812,3,25.71344642,6.360251721,3,23.93716992,5.666430746,3,49.65,11.57790568,3,11.31999969,0,49.42712976,0.069187019,2.484339768,0.675070517,226.353714,-0.248522908,-0.48376397,1889.350034,6.099999905,0.141868139,0.097191204
Hawaii,42755,"(5,10]",9.345705168,-155.9673818,19.84870366,-155.9686565,19.85123248,7044.7,43.33333333,11.81453907,3,58.33333333,8.779711461,3,15,4.330127019,3,26.66666667,5.773502692,3,41.66666667,8.779711461,3,11.31999969,0,48.19286486,0.068819379,2.480188658,0.243305152,384.3313292,1.046287419,-0.479675575,4642.855961,4.698526187,0.377085092,0.12816715
